name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Waterford Institute of Technology,Educational,1001-5000,1970,Higher Education,more than 1000,"Undergraduate courses,Post Graduate Courses,Research,Adult Education,International Students,Part time education",https://media.licdn.com/dms/image/C4E0BAQEwCA9MamruSw/company-logo_200_200/0?e=2132524800&v=beta&t=i7KPGhf1SzW3-y0NmuNVmXqeeh-ObDPHD3WvIniPQc8,www.wit.ie,education
SocialTalent,Privately Held,51-200,2010,E-learning,more than 1000,"Social Recruiting,In-House Recruiter Training,Boolean Training,Social Sourcing,Recruiter Productivity,Diversity and Inclusion,Job Advertising,Employer Branding,Internet Recruitment,Online Learning,Social Selling,Sales Pitching",https://media.licdn.com/dms/image/C4D0BAQFU0GCSY7djfw/company-logo_200_200/0?e=2132524800&v=beta&t=br_ljzB0m8TiUDoTnVF9AtrL5FFgbAgLfbtYDR61ae4,http://www.socialtalent.co,education
Maynooth University,Educational,201-500,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQHrqIpKxparvw/company-logo_200_200/0?e=2132524800&v=beta&t=Nz864xX-QO5o_mUl7iUl86XMfP7nHQmNekWhcrLqnBU,http://www.maynoothuniversity.ie/,education
National College of Ireland,Educational,51-200,Undisclosed,Higher Education,more than 1000,"human resource management,accounting,computing,business",https://media.licdn.com/dms/image/C560BAQGvdEr-87aniQ/company-logo_200_200/0?e=2132524800&v=beta&t=XKRqtbrTbzBVlgjpVr-k7-Aur6qP4fo9MOBpCHnhrus,http://www.ncirl.ie/,education
Limerick Institute of Technology,Educational,5001-10000,1852,Higher Education,more than 1000,"Limerick School of Art & Design,Business & Humanities,Applied Science, Engineering & Technology",https://media.licdn.com/dms/image/C4D0BAQH0LwiYhLZjFQ/company-logo_200_200/0?e=2132524800&v=beta&t=qIzaCRqYkzBPeT6N2FFgk01a9Vn5wvywGXQnB5ce8ko,http://www.lit.ie/,education
Griffith College Dublin,Privately Held,201-500,1974,Education Management,more than 1000,"Business,MBA,International Law,Journalism,Fashion Design,Computer Science,Visual Media,English Language,Digital Media,Design,Photography,Interior Design,Hospitality Management,Software Development,Information Technology,Game Development,Cloud Computing",https://media.licdn.com/dms/image/C560BAQEXbqzpri69oA/company-logo_200_200/0?e=2132524800&v=beta&t=HMNUQ9E_ceXol2EixshTaGmg0XS_vVypZLpfBxS0h50,http://www.griffith.ie,education
"Institute of Technology, Carlow",Educational,501-1000,1970,Higher Education,more than 1000,"Higher Education,Third Level Education,Undergraduate,Postgraduate,Research,Design,Innovation,Life Long Learning",https://media.licdn.com/dms/image/C4D0BAQGWA-0vhr8iEg/company-logo_200_200/0?e=2132524800&v=beta&t=EUGvpmKOIY4tKnj7TLV6k1TgD31RyayXnNxNZX61gHw,http://www.itcarlow.ie/,education
Athlone Institute of Technology,Educational,501-1000,1970,Education Management,more than 1000,"Higher education,Engineering,Science,Business,Accounting,Tourism,Bioscience,Toxicology,Software,Materials",https://media.licdn.com/dms/image/C4D0BAQGFr2ZtuwPc-w/company-logo_200_200/0?e=2132524800&v=beta&t=w-vptEc3WimrerNt1EM7qRMwhVIj6P-VUKPTX4j4IFg,http://www.ait.ie/,education
Galway-Mayo Institute of Technology,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQESx0M180S8Kg/company-logo_200_200/0?e=2132524800&v=beta&t=NzpvQWJdKI_MijuawE30XrgoLO5rziUT2u5JurAdXJc,http://www.gmit.ie/,education
Royal College of Surgeons in Ireland,Educational,1001-5000,1784,Education Management,more than 1000,"Education,Research,Innovation,Health,Pharmacy,Surgery,Physiotherapy,Medicine,Leadership,Research,Nursing and Midwifery,Radiology,Dentistry,Third level education,Leadership,Higher Education,Degree,PHD",https://media.licdn.com/dms/image/C4D0BAQFFVe24ESvlXQ/company-logo_200_200/0?e=2132524800&v=beta&t=BdJHbTHpqzrZVVVNF7NWexYdqqk3GAZXoHYQ78zGcew,http://www.rcsi.ie/international,education
Dundalk Institute of Technology,Educational,201-500,1970,Higher Education,more than 1000,"Higher Education,Regional Development,Part-time Continuing Education,Research",https://media.licdn.com/dms/image/C510BAQHKVDu87tw0Mg/company-logo_200_200/0?e=2132524800&v=beta&t=49-yW3IrA-YerF6XaTiCKuni5SuZtoPeD-SINFnPju4,www.dkit.ie,education
"Institute of Technology, Sligo",Educational,Undisclosed,1970,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQEbX32CvXIihg/company-logo_200_200/0?e=2132524800&v=beta&t=mkOV8bpGR1to4Eo9_vXAjQKMt7Q737dCKWEq4ok-oXo,http://itsligo.ie/,education
Shaw Academy,Educational,201-500,2013,E-learning,more than 1000,"Online Marketing,Personal Nutrition,Financial Trading,Photography,Health and Fitness,Microsoft Excel,Sales,Advanced Sales,Budgeting and Personal Finance,Advanced Financial trading",https://media.licdn.com/dms/image/C4D0BAQG5lKfMSj5zZA/company-logo_200_200/0?e=2132524800&v=beta&t=3gaOxnGKnbXnADSo68QZPMJQxTR24TaUDhJICvfhjmA,http://www.shawacademy.com/,education
TCS,Self Employed,2-10,2008,Professional Training,more than 1000,Training and Consultancy,https://media.licdn.com/dms/image/C4E0BAQGzcf1CQGf4DQ/company-logo_200_200/0?e=2132524800&v=beta&t=UmKj4qzHVHt6qSAt6MK8FyAJlUmLHCT-xIkg1O6yxic,www.tcsafety.ie,education
UCD Michael Smurfit Graduate Business School,Educational,501-1000,1908,Higher Education,more than 1000,"business school,masters programmes,MBA,EMBA,Executive Development,Executive Education,Management Development",https://media.licdn.com/dms/image/C4E0BAQFeoY8iuxxI6Q/company-logo_200_200/0?e=2132524800&v=beta&t=mzuocvnjwf8pbmtncYtVashpXy8-ROxcG3-aqPtxMPo,www.smurfitschool.ie,education
Irish Management Institute,Educational,51-200,1952,Higher Education,more than 1000,"Executive Education,Management Development,Customised Executive Education,Management Research,Conferencing",https://media.licdn.com/dms/image/C4E0BAQGeHPqTyskrSQ/company-logo_200_200/0?e=2132524800&v=beta&t=eK3GAYrJnwQVzthyM7RiD60VXYqMDuejWt4k7ltskkA,http://www.imi.ie/,education
"Institute of Technology, Tallaght",Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,http://www.ittdublin.ie/,education
Alison - Free Online Learning,Privately Held,11-50,2007,Education Management,more than 1000,"Free Interactive Learning Online,Health,Business and Enterprise Skills,Digital Literacy and IT,Financial and Economic Literacy,Personal Development,Languages,Project Maths",https://media.licdn.com/dms/image/C4E0BAQGsbLNniHYvyg/company-logo_200_200/0?e=2132524800&v=beta&t=IN0zB1-qhzP4Jhv8mf-6r-K9H1pV7xXBOdZG7OC1E3s,https://alison.com,education
Letterkenny Institute of Technology,Educational,501-1000,1971,Higher Education,more than 1000,"Higher Education,Third Level Education,Research,Postgraduate Education,Undergraduate Degree,Postgraduate Degree",https://media.licdn.com/dms/image/C4E0BAQE68eWBs2wnyw/company-logo_200_200/0?e=2132524800&v=beta&t=m4zb4MpXv8Gj8e1oZ-8tdZLmZGBe8zpTyVQJQrdmFrM,http://www.lyit.ie/,education
Institute of Technology Blanchardstown,Educational,51-200,1999,Higher Education,more than 1000,"Full-Time,Part-Time,Business,Computing,Social Care,Creative Digital Media,Horticulture,Sports Management & Coaching,Social & Community Development,Engineering,Cisco,Early Childhood Care & Education,Accounting & Finance,International Business,IT",https://media.licdn.com/dms/image/C4D0BAQFfVMYi39LDvQ/company-logo_200_200/0?e=2132524800&v=beta&t=_wbBdJbK_FWtWaCFdcd50Xz7RiGBeIo5EbTo9zkBLQ0,http://www.itb.ie/,education
Professional Development - Enhancing Your Potential,Privately Held,11-50,1980,Professional Training,more than 1000,"Agile & Scrum Master Workshops,PMP, CAPM & Prince 2 Exam Preparation,Lean Six Sigma - Yellow, Green and Black Belt,Managing People & Leadership Skills,Train The Trainer,Sales, Negotiation & Influencing Skills,Customer Service & Complaint Handling,Communication Skills,Continuous Improvement",https://media.licdn.com/dms/image/C560BAQESXagUFowkrQ/company-logo_200_200/0?e=2132524800&v=beta&t=IW_GDWc4mtGaZHOSDc4_l67hXW_Wj9nLcq6GiM80veU,professionaldevelopment.ie,education
IT Sligo,Educational,501-1000,1970,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQHa8aQymJw_1Q/company-logo_200_200/0?e=2132524800&v=beta&t=eU5IUtExIckAheRuUya1CZwQ7GpfIDHuC2dvLGJSxSk,www.itsligo.ie,education
"Institute of Technology, Tralee",Educational,201-500,1977,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQGGTG-VqVu26Q/company-logo_200_200/0?e=2132524800&v=beta&t=-hD6TBD1Wzlqnik5EfNyb5l99ufJY3rwHV6cmxnK9oM,http://www.ittralee.ie,education
"Dún Laoghaire Institute of Art, Design and Technology",Educational,201-500,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQFxEGKapBAo5Q/company-logo_200_200/0?e=2132524800&v=beta&t=SkxfenG2p8wsgrUg3ni0nf5jh5r7GfGf0s8jhJM9dLI,http://www.iadt.ie/,education
SOLAS (An tSeirbhís Oideachais Leanúnaigh agus Scileanna),Government Agency,51-200,Undisclosed,Education Management,more than 1000,Ireland's Further Education and Training Authority,https://media.licdn.com/dms/image/C4D0BAQFMP-B62MQqCQ/company-logo_200_200/0?e=2132524800&v=beta&t=6UFclH0BbTxDL1beKxDgCGSHW_HYzHD6JLSq_DrBMRM,www.solas.ie,education
The Institute of Banking,Educational,51-200,1898,Education Management,more than 1000,"Risk,Credit,Funds,Digital,International,Financial Advice,Financial Planning",https://media.licdn.com/dms/image/C510BAQF655C2ycqAcg/company-logo_200_200/0?e=2132524800&v=beta&t=CJ18n5f_Ubt8iIYHIcLpdMCUMyDkqrsHY2uQ0A6A5D8,www.iob.ie,education
Engineers Ireland,Non Profit,11-50,1835,Education Management,more than 1000,"Engineering,Membership Organisation,Continuing Professional Development (CPD),Training,Outreach Education,Employment Services,Professional engineering titles,International mobility,Government / Policy submissions,An expert voice for the profession",https://media.licdn.com/dms/image/C4D0BAQHwDVgzli4GBA/company-logo_200_200/0?e=2132524800&v=beta&t=afCETTka8R0wvWVajz4EnckWMYmxy3vbJY5lCJasiCE,www.engineersireland.ie,education
The Marketing Institute of Ireland,Non Profit,2-10,1962,Higher Education,more than 1000,"Marketing Education and Training,Membership services,Advocacy,Conferences and Seminars",https://media.licdn.com/dms/image/C510BAQEi3e75bsdvyQ/company-logo_200_200/0?e=2132524800&v=beta&t=HLf0pMnsCMVEzbp7sMeG2RFa0qGLSk7cs6lQ6pJHHVY,www.mii.ie,education
Eden College,Educational,51-200,1999,Education Management,more than 1000,"College & University,Language School,Professional Services,Exchange Programm",https://media.licdn.com/dms/image/C560BAQEk7kCFEfd9_Q/company-logo_200_200/0?e=2132524800&v=beta&t=etv9P0IAc5H104Z_ir3kn_V0okjvjzYG-XmB3PQSs5E,www.edencollege.ie,education
Irish Institute of Training and Development (IITD),Non Profit,2-10,1969,Professional Training,more than 1000,"Training & Development,Training Consultancy,Human Resource Development,""Train the Trainer""​",https://media.licdn.com/dms/image/C4E0BAQHzOQepF9SSJA/company-logo_200_200/0?e=2132524800&v=beta&t=fsmUML-2nZOuyjhrhgdYF_S6iMjbwifoTRfB2rcVBYw,www.iitd.ie,education
Irish Tax Institute,Educational,11-50,1967,Professional Training,more than 1000,"Tax Education,Tax Publications,Tax Training,Tax Policy",https://media.licdn.com/dms/image/C560BAQEIr-hF4IO73Q/company-logo_200_200/0?e=2132524800&v=beta&t=JX9lZaVuTRRXFE1rq-KPAE_k39Sj8NNY9F5bohDMl1Y,www.taxinstitute.ie,education
PulseLearning Global,Privately Held,51-200,1999,E-learning,more than 1000,"Sales Enablement Training,Induction & Onboarding Training,Compliance Training,Technical & Product Training,Leadership & Talent Management,- Custom eLearning,- Blended Learning,- Learning Consultancy,- Staff Augmentation,- Gamification,elearning",https://media.licdn.com/dms/image/C4E0BAQE6Bbo4i7xGag/company-logo_200_200/0?e=2132524800&v=beta&t=ieY_kdidYf1kZeE-P_Sltn_5jKZ2AHwcAsPbO3CEUFo,https://www.pulselearning.com,education
OmniPro,Privately Held,11-50,2005,Professional Training,more than 1000,"Cold File Reviews,Annual Compliance Reviews,Company Law,CPD,Practice Management & Marketing,Company Formation,Taxation,Financial Reporting,Investment Business Compliance,Anti-Money Laundering Compliance,Company Secretarial,Audit Programmes,Online CPD",https://media.licdn.com/dms/image/C4E0BAQGHNEiIdinvZQ/company-logo_200_200/0?e=2132524800&v=beta&t=MEximFqn5_vudX93DkkwiGk0UUnokjIM__dNXX3XpDI,www.omnipro.ie,education
Chevron Training,Privately Held,11-50,2005,Professional Training,more than 1000,"Childcare Courses,Healthcare Courses,Health & Social Care Degree,BER Courses,CACHE Courses",https://media.licdn.com/dms/image/C4E0BAQHLaf_FzHMNIA/company-logo_200_200/0?e=2132524800&v=beta&t=bOhWML7Vs-F-O3jRe6G_WPdFKsdiH2usv_YwX8LIZKM,https://chevrontraining.ie,education
St. Patrick's College Drumcondra,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQGC40eSE1chzw/company-logo_200_200/0?e=2132524800&v=beta&t=FvBIqqG2IE08qzjLvKJTXG7mdAUKSB3_38v05X1d-AQ,http://www.spd.dcu.ie/,education
"Mary Immaculate College, Ireland",Public Company,201-500,1898,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C510BAQHLmb78i_HYJw/company-logo_200_200/0?e=2132524800&v=beta&t=nflbSs3wbbmnLWnAiHm4Jo1qcQtAtWbpyx2lBqR4UAQ,http://www.mic.ul.ie/,education
WIT,Educational,501-1000,1969,Education Management,more than 1000,"Business, Engineering, Construction & Civil Engineering, Architecture, Health Sciences, Nursing, Applied Arts, Tourism & Hospitality, Creative & Performing Arts, Chemical & Life Sciences, Computing, Maths & Physics, Adult Education",https://media.licdn.com/dms/image/C4D0BAQHcR3-eN83D-w/company-logo_200_200/0?e=2132524800&v=beta&t=JQaYSffpDbQyj-HY3_NmPCljkbZs2tE48h8jckeA0J0,www.wit.ie,education
The Insurance Institute,Educational,11-50,1885,Higher Education,more than 1000,"Education,Professional Training,Continuing Professional Development (CPD),Accredited Product Adviser (APA),Professional Diploma in Insurance (CIP),Management Diploma in Insurance (MDI),ACII,FCII,Insurance Courses,Executive Education,Insurance careers",https://media.licdn.com/dms/image/C4D0BAQHby8Ev0Ggb9Q/company-logo_200_200/0?e=2132524800&v=beta&t=rKf2fAw6UEfTWqqrHovW1l7gOhcCXxIn-caXbvfsjVk,www.iii.ie,education
Learning Pool,Privately Held,51-200,2006,E-learning,more than 1000,"Online Learning,Off-the-shelf e-learning,Gamification,E-learning solutions,Totara LMS,Global Partner of the Year,Custom Content,E-learning solutions,Adapt Builder,Learning Management System,Finance,Learning Technologies,Hospitality,Adapt Learning",https://media.licdn.com/dms/image/C4D0BAQEII1j_t00SWQ/company-logo_200_200/0?e=2132524800&v=beta&t=KFJxlzQyEyhJHyL22fJ56CRNq9BZHYj_rrXYYjKIBBg,learningpool.com,education
Digital Skills Academy,Privately Held,51-200,2009,Higher Education,more than 1000,"BSc Degrees,Digital Business,Digital Skills,Digital Technology,Digital Design,Coding",https://media.licdn.com/dms/image/C4D0BAQFQAfX-Hlkzgg/company-logo_200_200/0?e=2132524800&v=beta&t=_AFcWzgdDYFYoOUqyGyIbCX-wbF4ySVJSXJitXWYt0U,https://digitalskillsacademy.com,education
FETAC (Further Education and Training Awards Council),Government Agency,51-200,Undisclosed,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQEVL5sjdxxseg/company-logo_200_200/0?e=2132524800&v=beta&t=tnHmxGUwt_iFzO0--YP7uhDtE-cPfqwmG8R9GPyNc7c,http://www.fetac.ie,education
The Honorable Society of King's Inns,Educational,11-50,1541,Education Management,more than 1000,"Education,Barrister-at-Law Degree,Training,CPD - Continuing Professional Development,Dining,Venue Hire,Weddings,Corporate Events,Location Filming,law and education,employment law,planning law,environmental law",https://media.licdn.com/dms/image/C4E0BAQGcCMAnnlbCVQ/company-logo_200_200/0?e=2132524800&v=beta&t=mVu2o5hUNvWctu86u2n1nlyFh-6uGlB69pVAy3wUrPc,http://www.kingsinns.ie,education
Christian Brothers College,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,http://www.cbccork.ie/,education
Centre of English Studies (CES),Privately Held,51-200,1979,Education Management,more than 1000,"General English courses,Teacher Training,IELTS Test centres,Junior Programmes,IELTS Exam tuition,Cambridge Examination centre,Cambridge examination classes",https://media.licdn.com/dms/image/C4D0BAQFMbQLKt1XReg/company-logo_200_200/0?e=2132524800&v=beta&t=vb2FPFeUzmxaZFgWoz7gjjPIXxpL88sHeXS-WR2n-So,www.ces-schools.com,education
The Teaching Council,Non Profit,11-50,2006,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQH9jr6RIqSWAg/company-logo_200_200/0?e=2132524800&v=beta&t=hVfRyjvNVPzTrinCCjhX2ZuzrMyhUDLTlMuP5R8UnwA,www.teachingcouncil.ie,education
Educate Together,Non Profit,11-50,1984,Education Management,more than 1000,"Opening Innovative Schools,Inter-cultural Education and Curriculum Development,Online Education Courses,Building Social Capital,Ethical Education Specialists,Empowering Participatory Democracy",https://media.licdn.com/dms/image/C4D0BAQGKdIrM8AKi0g/company-logo_200_200/0?e=2132524800&v=beta&t=J6wqKZsxsJs2t1dDA27aZKVik6BkFtZt4er8FVOB_v8,www.educatetogether.ie,education
Hibernia College,Privately Held,51-200,2000,E-learning,more than 1000,"Teaching,Post Graduate Programmes,CPD Programmes,Higher Education,eLearning,Primary Education",https://media.licdn.com/dms/image/C4E0BAQFTfp30Xhxvsw/company-logo_200_200/0?e=2132524800&v=beta&t=g2LKWTBbUsuOMKwVscakFrr6_niBPtGN869cSz3_HWg,http://hiberniacollege.com/?Lead=Social_Media&Campaign=Profile&Provider=LinkedIn,education
ITT Dublin,Educational,201-500,1992,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQGfbD9XytfbAA/company-logo_200_200/0?e=2132524800&v=beta&t=V0R-F6516wr-tq2xsPiCa2vAAP_H1QEP32IEb-8ff6U,www.ittdublin.ie,education
IBAT College Dublin,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQEet1coYJ-woQ/company-logo_200_200/0?e=2132524800&v=beta&t=WDHx5J3Q_01EcFTDXKQ05yWpwYPVmVb5zAzaEuWABSs,www.ibat.ie,education
SEDA College,Educational,51-200,2009,Education Management,more than 1000,"Language Courses,General English Courses,Cambridge Preparation FCE/PET/CAE,Ielts Preparation",https://media.licdn.com/dms/image/C4D0BAQGdlw9_riPy6Q/company-logo_200_200/0?e=2132524800&v=beta&t=UOxjY1SlM5IQ_L1VHl44qb7kEJ2pBGnIXbDZFFKUvRU,http://seda.college,education
Camara Education Ltd.,Non Profit,51-200,2005,Education Management,more than 1000,"eLearning,Computer Hardware,Social Enterprise,International Development,Africa,eWaste,IT Disposal,Education,Data Erasure,ICT in Education",https://media.licdn.com/dms/image/C560BAQH3UnGXnBvwcw/company-logo_200_200/0?e=2132524800&v=beta&t=bSAQMgM1jywd4BbgesELUSkeTNbHeiZCc9EMZD120s8,http://camara.org,education
Enovation ,Privately Held,51-200,2000,E-learning,more than 1000,"eLearning,Project Collaboration Portal,Moodle Partner,Alfresco,Open source products,Integrated Solutions,Talent Management,Project Management,Web Content Management,Support & Training,Customization, hosting,Managed Services,Drupal,Hosting,Totara Partner",https://media.licdn.com/dms/image/C4D0BAQHuHjAvvh41kA/company-logo_200_200/0?e=2132524800&v=beta&t=dXvmztH3FdPETl7fSeM51EacvFwFWF96d1EBtvq0jNA,http://www.enovation.ie,education
Academy of Financial Trading,Educational,201-500,2012,E-learning,more than 1000,"Financial Trading,Higher Education,Online Education,Technical Analysis,Learn to Trade,Trading,Forex Trading,Trading Education",https://media.licdn.com/dms/image/C510BAQEk_Ft3z9lQSA/company-logo_200_200/0?e=2132524800&v=beta&t=VJ_xm7W-H-Y8ZRmkEQZBr7r5vayTYjvVwTqwCPTXZ-0,www.academyft.com,education
LA College of Creative Arts,Privately Held,11-50,2005,Education Management,more than 1000,"Academic Training in the Creative Arts,Fashion Design,Fashion Styling,Make-Up Artistry,Millinery,Photography",https://media.licdn.com/dms/image/C4D0BAQEAgluYHfXXWQ/company-logo_200_200/0?e=2132524800&v=beta&t=fVEp--4aRNfQzj_EKCoBwUmwyetJkwtE6hiDww7uFnw,www.lacollegeofcreativearts.com,education
Primary Schools,Privately Held,myself only,Undisclosed,Education Management,more than 1000,Not Specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,www.drama.ie,education
DCU Business School,Educational,51-200,Undisclosed,Higher Education,more than 1000,"Accounting,Economics,Finance,Entrepreneurship,Leadership & Talent,Big Data,Cloud Computing,Aviation Leadership,Digital Marketing,Organisational Psychology,Management,Family Business",https://media.licdn.com/dms/image/C560BAQFvo8QjGLc4VA/company-logo_200_200/0?e=2132524800&v=beta&t=XQWafz4Dl7_cHyYDDNqvBUFmkjZpgiVi5VPLevi-us0,business.dcu.ie,education
GMIT Innovation Hubs,Educational,501-1000,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQEPCCBhJKv73w/company-logo_200_200/0?e=2132524800&v=beta&t=y04qTvhr_-L7oWXtY-CIV8rC-5bGQmizjF-K3jtmSRg,www.gmit.ie/gmit-innovation-hubs,education
Institute of Project Management Ireland,Privately Held,11-50,1989,Education Management,more than 1000,"Project Management training,Certification,Education,International project management networks",https://media.licdn.com/dms/image/C4D0BAQGyqSax-d5PCg/company-logo_200_200/0?e=2132524800&v=beta&t=mZKuS8fxJt1JHvpi0670KGC-l1FvRXJT6AZfJAxQR4g,http://www.projectmanagement.ie,education
Irish Research Council,Government Agency,11-50,2012,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C510BAQF4_lcGhN6WOA/company-logo_200_200/0?e=2132524800&v=beta&t=_8MYZs-C2l1yjXEV5sPnlIM5fpbdktgc3beLQpfhZ9U,www.research.ie,education
Royal College of Physicians of Ireland,Non Profit,51-200,1654,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQEVjhhCLVqw6w/company-logo_200_200/0?e=2132524800&v=beta&t=kUSpfuwj-n0BmOtdFA6kVDr73a88eGjkbiPG-zTE1mg,http://www.rcpi.ie/,education
Cleaning and Hygiene Training,Privately Held,2-10,Undisclosed,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQFfBGDGdsK4vQ/company-logo_200_200/0?e=2132524800&v=beta&t=x-LzmR4IXseOfRvrC1YNxGnp9D3Z00r3CE0XVq_X9JE,www.cleaningtraining.ie,education
Coláiste Dhúlaigh College of Further Education,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQFCOiHAbe-XdQ/company-logo_200_200/0?e=2132524800&v=beta&t=5LDWqb7a5opzE7CS7tLiUFE8A4tCM3svBPrsjkAkpKY,www.cdcfe.ie,education
