name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialities,squareLogoUrl,websiteUrl,group
Waterford Institute Of Technology,Educational,1001-5000,1970,Higher Education,more than 1000,"undergraduate courses, post graduate courses, research",https://media.licdn.com/dms/image/C4E0BAQEwCA9MamruSw/company-logo_200_200/0?e=2132524800&v=beta&t=i7KPGhf1SzW3-y0NmuNVmXqeeh-ObDPHD3WvIniPQc8,http://www.wit.ie,education
Socialtalent,Privately Held,51-200,2010,E-learning,more than 1000,"social recruiting, in-house recruiter training, boolean training",https://media.licdn.com/dms/image/C4D0BAQFU0GCSY7djfw/company-logo_200_200/0?e=2132524800&v=beta&t=br_ljzB0m8TiUDoTnVF9AtrL5FFgbAgLfbtYDR61ae4,http://www.socialtalent.co,education
Maynooth University,Educational,201-500,Undisclosed,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C4D0BAQHrqIpKxparvw/company-logo_200_200/0?e=2132524800&v=beta&t=Nz864xX-QO5o_mUl7iUl86XMfP7nHQmNekWhcrLqnBU,http://www.maynoothuniversity.ie/,education
National College Of Ireland,Educational,51-200,Undisclosed,Higher Education,more than 1000,"human resource management, accounting, computing",https://media.licdn.com/dms/image/C560BAQGvdEr-87aniQ/company-logo_200_200/0?e=2132524800&v=beta&t=XKRqtbrTbzBVlgjpVr-k7-Aur6qP4fo9MOBpCHnhrus,http://www.ncirl.ie/,education
Limerick Institute Of Technology,Educational,5001-10000,1852,Higher Education,more than 1000,"limerick school of art & design, business & humanities, applied science",https://media.licdn.com/dms/image/C4D0BAQH0LwiYhLZjFQ/company-logo_200_200/0?e=2132524800&v=beta&t=qIzaCRqYkzBPeT6N2FFgk01a9Vn5wvywGXQnB5ce8ko,http://www.lit.ie/,education
Griffith College Dublin,Privately Held,201-500,1974,Education Management,more than 1000,"business, mba, international law",https://media.licdn.com/dms/image/C560BAQEXbqzpri69oA/company-logo_200_200/0?e=2132524800&v=beta&t=HMNUQ9E_ceXol2EixshTaGmg0XS_vVypZLpfBxS0h50,http://www.griffith.ie,education
"Institute Of Technology, Carlow",Educational,501-1000,1970,Higher Education,more than 1000,"higher education, third level education, undergraduate",https://media.licdn.com/dms/image/C4D0BAQGWA-0vhr8iEg/company-logo_200_200/0?e=2132524800&v=beta&t=EUGvpmKOIY4tKnj7TLV6k1TgD31RyayXnNxNZX61gHw,http://www.itcarlow.ie/,education
Athlone Institute Of Technology,Educational,501-1000,1970,Education Management,more than 1000,"higher education, engineering, science",https://media.licdn.com/dms/image/C4D0BAQGFr2ZtuwPc-w/company-logo_200_200/0?e=2132524800&v=beta&t=w-vptEc3WimrerNt1EM7qRMwhVIj6P-VUKPTX4j4IFg,http://www.ait.ie/,education
Galway-Mayo Institute Of Technology,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C560BAQESx0M180S8Kg/company-logo_200_200/0?e=2132524800&v=beta&t=NzpvQWJdKI_MijuawE30XrgoLO5rziUT2u5JurAdXJc,http://www.gmit.ie/,education
Royal College Of Surgeons In Ireland,Educational,1001-5000,1784,Education Management,more than 1000,"education, research, innovation",https://media.licdn.com/dms/image/C4D0BAQFFVe24ESvlXQ/company-logo_200_200/0?e=2132524800&v=beta&t=BdJHbTHpqzrZVVVNF7NWexYdqqk3GAZXoHYQ78zGcew,http://www.rcsi.ie/international,education
Dundalk Institute Of Technology,Educational,201-500,1970,Higher Education,more than 1000,"higher education, regional development, part-time continuing education",https://media.licdn.com/dms/image/C510BAQHKVDu87tw0Mg/company-logo_200_200/0?e=2132524800&v=beta&t=49-yW3IrA-YerF6XaTiCKuni5SuZtoPeD-SINFnPju4,http://www.dkit.ie,education
"Institute Of Technology, Sligo",Educational,Undisclosed,1970,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C4E0BAQEbX32CvXIihg/company-logo_200_200/0?e=2132524800&v=beta&t=mkOV8bpGR1to4Eo9_vXAjQKMt7Q737dCKWEq4ok-oXo,http://www.itsligo.ie/,education
Shaw Academy,Educational,201-500,2013,E-learning,more than 1000,"online marketing, personal nutrition, financial trading",https://media.licdn.com/dms/image/C4D0BAQG5lKfMSj5zZA/company-logo_200_200/0?e=2132524800&v=beta&t=3gaOxnGKnbXnADSo68QZPMJQxTR24TaUDhJICvfhjmA,http://www.shawacademy.com/,education
Tcs,Self Employed,2-10,2008,Professional Training,more than 1000,training and consultancy,https://media.licdn.com/dms/image/C4E0BAQGzcf1CQGf4DQ/company-logo_200_200/0?e=2132524800&v=beta&t=UmKj4qzHVHt6qSAt6MK8FyAJlUmLHCT-xIkg1O6yxic,http://www.tcsafety.ie,education
Ucd Michael Smurfit Graduate Business School,Educational,501-1000,1908,Higher Education,more than 1000,"business school, masters programmes, mba",https://media.licdn.com/dms/image/C4E0BAQFeoY8iuxxI6Q/company-logo_200_200/0?e=2132524800&v=beta&t=mzuocvnjwf8pbmtncYtVashpXy8-ROxcG3-aqPtxMPo,http://www.smurfitschool.ie,education
Irish Management Institute,Educational,51-200,1952,Higher Education,more than 1000,"executive education, management development, customised executive education",https://media.licdn.com/dms/image/C4E0BAQGeHPqTyskrSQ/company-logo_200_200/0?e=2132524800&v=beta&t=eK3GAYrJnwQVzthyM7RiD60VXYqMDuejWt4k7ltskkA,http://www.imi.ie/,education
"Institute Of Technology, Tallaght",Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,not specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,http://www.ittdublin.ie/,education
Alison - Free Online Learning,Privately Held,11-50,2007,Education Management,more than 1000,"free interactive learning online, health, business and enterprise skills",https://media.licdn.com/dms/image/C4E0BAQGsbLNniHYvyg/company-logo_200_200/0?e=2132524800&v=beta&t=IN0zB1-qhzP4Jhv8mf-6r-K9H1pV7xXBOdZG7OC1E3s,http://www.alison.com,education
Letterkenny Institute Of Technology,Educational,501-1000,1971,Higher Education,more than 1000,"higher education, third level education, research",https://media.licdn.com/dms/image/C4E0BAQE68eWBs2wnyw/company-logo_200_200/0?e=2132524800&v=beta&t=m4zb4MpXv8Gj8e1oZ-8tdZLmZGBe8zpTyVQJQrdmFrM,http://www.lyit.ie/,education
Institute Of Technology Blanchardstown,Educational,51-200,1999,Higher Education,more than 1000,"full-time, part-time, business",https://media.licdn.com/dms/image/C4D0BAQFfVMYi39LDvQ/company-logo_200_200/0?e=2132524800&v=beta&t=_wbBdJbK_FWtWaCFdcd50Xz7RiGBeIo5EbTo9zkBLQ0,http://www.itb.ie/,education
Professional Development - Enhancing Your Potential,Privately Held,11-50,1980,Professional Training,more than 1000,"agile & scrum master workshops, pmp, capm & prince 2 exam preparation",https://media.licdn.com/dms/image/C560BAQESXagUFowkrQ/company-logo_200_200/0?e=2132524800&v=beta&t=IW_GDWc4mtGaZHOSDc4_l67hXW_Wj9nLcq6GiM80veU,http://www.professionaldevelopment.ie,education
It Sligo,Educational,501-1000,1970,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C4E0BAQHa8aQymJw_1Q/company-logo_200_200/0?e=2132524800&v=beta&t=eU5IUtExIckAheRuUya1CZwQ7GpfIDHuC2dvLGJSxSk,http://www.itsligo.ie,education
"Institute Of Technology, Tralee",Educational,201-500,1977,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C560BAQGGTG-VqVu26Q/company-logo_200_200/0?e=2132524800&v=beta&t=-hD6TBD1Wzlqnik5EfNyb5l99ufJY3rwHV6cmxnK9oM,http://www.ittralee.ie,education
"Dún Laoghaire Institute Of Art, Design And Technology",Educational,201-500,Undisclosed,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C560BAQFxEGKapBAo5Q/company-logo_200_200/0?e=2132524800&v=beta&t=SkxfenG2p8wsgrUg3ni0nf5jh5r7GfGf0s8jhJM9dLI,http://www.iadt.ie/,education
Solas (An Tseirbhís Oideachais Leanúnaigh Agus Scileanna),Government Agency,51-200,Undisclosed,Education Management,more than 1000,ireland's further education and training authority,https://media.licdn.com/dms/image/C4D0BAQFMP-B62MQqCQ/company-logo_200_200/0?e=2132524800&v=beta&t=6UFclH0BbTxDL1beKxDgCGSHW_HYzHD6JLSq_DrBMRM,http://www.solas.ie,education
The Institute Of Banking,Educational,51-200,1898,Education Management,more than 1000,"risk, credit, funds",https://media.licdn.com/dms/image/C510BAQF655C2ycqAcg/company-logo_200_200/0?e=2132524800&v=beta&t=CJ18n5f_Ubt8iIYHIcLpdMCUMyDkqrsHY2uQ0A6A5D8,http://www.iob.ie,education
Engineers Ireland,Non Profit,11-50,1835,Education Management,more than 1000,"engineering, membership organisation, continuing professional development (cpd)",https://media.licdn.com/dms/image/C4D0BAQHwDVgzli4GBA/company-logo_200_200/0?e=2132524800&v=beta&t=afCETTka8R0wvWVajz4EnckWMYmxy3vbJY5lCJasiCE,http://www.engineersireland.ie,education
The Marketing Institute Of Ireland,Non Profit,2-10,1962,Higher Education,more than 1000,"marketing education and training, membership services, advocacy",https://media.licdn.com/dms/image/C510BAQEi3e75bsdvyQ/company-logo_200_200/0?e=2132524800&v=beta&t=HLf0pMnsCMVEzbp7sMeG2RFa0qGLSk7cs6lQ6pJHHVY,http://www.mii.ie,education
Eden College,Educational,51-200,1999,Education Management,more than 1000,"college & university, language school, professional services",https://media.licdn.com/dms/image/C560BAQEk7kCFEfd9_Q/company-logo_200_200/0?e=2132524800&v=beta&t=etv9P0IAc5H104Z_ir3kn_V0okjvjzYG-XmB3PQSs5E,http://www.edencollege.ie,education
Irish Institute Of Training And Development (Iitd),Non Profit,2-10,1969,Professional Training,more than 1000,"training & development, training consultancy, human resource development",https://media.licdn.com/dms/image/C4E0BAQHzOQepF9SSJA/company-logo_200_200/0?e=2132524800&v=beta&t=fsmUML-2nZOuyjhrhgdYF_S6iMjbwifoTRfB2rcVBYw,http://www.iitd.ie,education
Irish Tax Institute,Educational,11-50,1967,Professional Training,more than 1000,"tax education, tax publications, tax training",https://media.licdn.com/dms/image/C560BAQEIr-hF4IO73Q/company-logo_200_200/0?e=2132524800&v=beta&t=JX9lZaVuTRRXFE1rq-KPAE_k39Sj8NNY9F5bohDMl1Y,http://www.taxinstitute.ie,education
Pulselearning Global,Privately Held,51-200,1999,E-learning,more than 1000,"sales enablement training, induction & onboarding training, compliance training",https://media.licdn.com/dms/image/C4E0BAQE6Bbo4i7xGag/company-logo_200_200/0?e=2132524800&v=beta&t=ieY_kdidYf1kZeE-P_Sltn_5jKZ2AHwcAsPbO3CEUFo,http://www.pulselearning.com,education
Omnipro,Privately Held,11-50,2005,Professional Training,more than 1000,"cold file reviews, annual compliance reviews, company law",https://media.licdn.com/dms/image/C4E0BAQGHNEiIdinvZQ/company-logo_200_200/0?e=2132524800&v=beta&t=MEximFqn5_vudX93DkkwiGk0UUnokjIM__dNXX3XpDI,http://www.omnipro.ie,education
Chevron Training,Privately Held,11-50,2005,Professional Training,more than 1000,"childcare courses, healthcare courses, health & social care degree",https://media.licdn.com/dms/image/C4E0BAQHLaf_FzHMNIA/company-logo_200_200/0?e=2132524800&v=beta&t=bOhWML7Vs-F-O3jRe6G_WPdFKsdiH2usv_YwX8LIZKM,http://www.chevrontraining.ie,education
St. Patrick'S College Drumcondra,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C4E0BAQGC40eSE1chzw/company-logo_200_200/0?e=2132524800&v=beta&t=FvBIqqG2IE08qzjLvKJTXG7mdAUKSB3_38v05X1d-AQ,http://www.spd.dcu.ie/,education
"Mary Immaculate College, Ireland",Public Company,201-500,1898,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C510BAQHLmb78i_HYJw/company-logo_200_200/0?e=2132524800&v=beta&t=nflbSs3wbbmnLWnAiHm4Jo1qcQtAtWbpyx2lBqR4UAQ,http://www.mic.ul.ie/,education
Wit,Educational,501-1000,1969,Education Management,more than 1000,"business, engineering, construction & civil engineering",https://media.licdn.com/dms/image/C4D0BAQHcR3-eN83D-w/company-logo_200_200/0?e=2132524800&v=beta&t=JQaYSffpDbQyj-HY3_NmPCljkbZs2tE48h8jckeA0J0,http://www.wit.ie,education
The Insurance Institute,Educational,11-50,1885,Higher Education,more than 1000,"education, professional training, continuing professional development (cpd)",https://media.licdn.com/dms/image/C4D0BAQHby8Ev0Ggb9Q/company-logo_200_200/0?e=2132524800&v=beta&t=rKf2fAw6UEfTWqqrHovW1l7gOhcCXxIn-caXbvfsjVk,http://www.iii.ie,education
Learning Pool,Privately Held,51-200,2006,E-learning,more than 1000,"online learning, off-the-shelf e-learning, gamification",https://media.licdn.com/dms/image/C4D0BAQEII1j_t00SWQ/company-logo_200_200/0?e=2132524800&v=beta&t=KFJxlzQyEyhJHyL22fJ56CRNq9BZHYj_rrXYYjKIBBg,http://www.learningpool.com,education
Digital Skills Academy,Privately Held,51-200,2009,Higher Education,more than 1000,"bsc degrees, digital business, digital skills",https://media.licdn.com/dms/image/C4D0BAQFQAfX-Hlkzgg/company-logo_200_200/0?e=2132524800&v=beta&t=_AFcWzgdDYFYoOUqyGyIbCX-wbF4ySVJSXJitXWYt0U,http://www.digitalskillsacademy.com,education
Fetac (Further Education And Training Awards Council),Government Agency,51-200,Undisclosed,Education Management,more than 1000,not specified,https://media.licdn.com/dms/image/C4D0BAQEVL5sjdxxseg/company-logo_200_200/0?e=2132524800&v=beta&t=tnHmxGUwt_iFzO0--YP7uhDtE-cPfqwmG8R9GPyNc7c,http://www.fetac.ie,education
The Honorable Society Of King'S Inns,Educational,11-50,1541,Education Management,more than 1000,"education, barrister-at-law degree, training",https://media.licdn.com/dms/image/C4E0BAQGcCMAnnlbCVQ/company-logo_200_200/0?e=2132524800&v=beta&t=mVu2o5hUNvWctu86u2n1nlyFh-6uGlB69pVAy3wUrPc,http://www.kingsinns.ie,education
Christian Brothers College,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,not specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,http://www.cbccork.ie/,education
Centre Of English Studies (Ces),Privately Held,51-200,1979,Education Management,more than 1000,"general english courses, teacher training, ielts test centres",https://media.licdn.com/dms/image/C4D0BAQFMbQLKt1XReg/company-logo_200_200/0?e=2132524800&v=beta&t=vb2FPFeUzmxaZFgWoz7gjjPIXxpL88sHeXS-WR2n-So,http://www.ces-schools.com,education
The Teaching Council,Non Profit,11-50,2006,Education Management,more than 1000,not specified,https://media.licdn.com/dms/image/C560BAQH9jr6RIqSWAg/company-logo_200_200/0?e=2132524800&v=beta&t=hVfRyjvNVPzTrinCCjhX2ZuzrMyhUDLTlMuP5R8UnwA,http://www.teachingcouncil.ie,education
Educate Together,Non Profit,11-50,1984,Education Management,more than 1000,"opening innovative schools, inter-cultural education and curriculum development, online education courses",https://media.licdn.com/dms/image/C4D0BAQGKdIrM8AKi0g/company-logo_200_200/0?e=2132524800&v=beta&t=J6wqKZsxsJs2t1dDA27aZKVik6BkFtZt4er8FVOB_v8,http://www.educatetogether.ie,education
Hibernia College,Privately Held,51-200,2000,E-learning,more than 1000,"teaching, post graduate programmes, cpd programmes",https://media.licdn.com/dms/image/C4E0BAQFTfp30Xhxvsw/company-logo_200_200/0?e=2132524800&v=beta&t=g2LKWTBbUsuOMKwVscakFrr6_niBPtGN869cSz3_HWg,http://www.hiberniacollege.com/?Lead=Social_Media&Campaign=Profile&Provider=LinkedIn,education
Itt Dublin,Educational,201-500,1992,Education Management,more than 1000,not specified,https://media.licdn.com/dms/image/C4E0BAQGfbD9XytfbAA/company-logo_200_200/0?e=2132524800&v=beta&t=V0R-F6516wr-tq2xsPiCa2vAAP_H1QEP32IEb-8ff6U,http://www.ittdublin.ie,education
Ibat College Dublin,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C4D0BAQEet1coYJ-woQ/company-logo_200_200/0?e=2132524800&v=beta&t=WDHx5J3Q_01EcFTDXKQ05yWpwYPVmVb5zAzaEuWABSs,http://www.ibat.ie,education
Seda College,Educational,51-200,2009,Education Management,more than 1000,"language courses, general english courses, cambridge preparation fce/pet/cae",https://media.licdn.com/dms/image/C4D0BAQGdlw9_riPy6Q/company-logo_200_200/0?e=2132524800&v=beta&t=UOxjY1SlM5IQ_L1VHl44qb7kEJ2pBGnIXbDZFFKUvRU,http://www.seda.college,education
Camara Education Ltd.,Non Profit,51-200,2005,Education Management,more than 1000,"elearning, computer hardware, social enterprise",https://media.licdn.com/dms/image/C560BAQH3UnGXnBvwcw/company-logo_200_200/0?e=2132524800&v=beta&t=bSAQMgM1jywd4BbgesELUSkeTNbHeiZCc9EMZD120s8,http://www.camara.org,education
Enovation ,Privately Held,51-200,2000,E-learning,more than 1000,"elearning, project collaboration portal, moodle partner",https://media.licdn.com/dms/image/C4D0BAQHuHjAvvh41kA/company-logo_200_200/0?e=2132524800&v=beta&t=dXvmztH3FdPETl7fSeM51EacvFwFWF96d1EBtvq0jNA,http://www.enovation.ie,education
Academy Of Financial Trading,Educational,201-500,2012,E-learning,more than 1000,"financial trading, higher education, online education",https://media.licdn.com/dms/image/C510BAQEk_Ft3z9lQSA/company-logo_200_200/0?e=2132524800&v=beta&t=VJ_xm7W-H-Y8ZRmkEQZBr7r5vayTYjvVwTqwCPTXZ-0,http://www.academyft.com,education
La College Of Creative Arts,Privately Held,11-50,2005,Education Management,more than 1000,"academic training in the creative arts, fashion design, fashion styling",https://media.licdn.com/dms/image/C4D0BAQEAgluYHfXXWQ/company-logo_200_200/0?e=2132524800&v=beta&t=fVEp--4aRNfQzj_EKCoBwUmwyetJkwtE6hiDww7uFnw,http://www.lacollegeofcreativearts.com,education
Primary Schools,Privately Held,1-50,Undisclosed,Education Management,more than 1000,not specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,http://www.drama.ie,education
Dcu Business School,Educational,51-200,Undisclosed,Higher Education,more than 1000,"accounting, economics, finance",https://media.licdn.com/dms/image/C560BAQFvo8QjGLc4VA/company-logo_200_200/0?e=2132524800&v=beta&t=XQWafz4Dl7_cHyYDDNqvBUFmkjZpgiVi5VPLevi-us0,http://www.business.dcu.ie,education
Gmit Innovation Hubs,Educational,501-1000,Undisclosed,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C560BAQEPCCBhJKv73w/company-logo_200_200/0?e=2132524800&v=beta&t=y04qTvhr_-L7oWXtY-CIV8rC-5bGQmizjF-K3jtmSRg,http://www.gmit.ie/gmit-innovation-hubs,education
Institute Of Project Management Ireland,Privately Held,11-50,1989,Education Management,more than 1000,"project management training, certification, education",https://media.licdn.com/dms/image/C4D0BAQGyqSax-d5PCg/company-logo_200_200/0?e=2132524800&v=beta&t=mZKuS8fxJt1JHvpi0670KGC-l1FvRXJT6AZfJAxQR4g,http://www.projectmanagement.ie,education
Irish Research Council,Government Agency,11-50,2012,Education Management,more than 1000,not specified,https://media.licdn.com/dms/image/C510BAQF4_lcGhN6WOA/company-logo_200_200/0?e=2132524800&v=beta&t=_8MYZs-C2l1yjXEV5sPnlIM5fpbdktgc3beLQpfhZ9U,http://www.research.ie,education
Royal College Of Physicians Of Ireland,Non Profit,51-200,1654,Education Management,more than 1000,not specified,https://media.licdn.com/dms/image/C4E0BAQEVjhhCLVqw6w/company-logo_200_200/0?e=2132524800&v=beta&t=kUSpfuwj-n0BmOtdFA6kVDr73a88eGjkbiPG-zTE1mg,http://www.rcpi.ie/,education
Cleaning And Hygiene Training,Privately Held,2-10,Undisclosed,Education Management,more than 1000,not specified,https://media.licdn.com/dms/image/C4D0BAQFfBGDGdsK4vQ/company-logo_200_200/0?e=2132524800&v=beta&t=x-LzmR4IXseOfRvrC1YNxGnp9D3Z00r3CE0XVq_X9JE,http://www.cleaningtraining.ie,education
Coláiste Dhúlaigh College Of Further Education,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,not specified,https://media.licdn.com/dms/image/C4D0BAQFCOiHAbe-XdQ/company-logo_200_200/0?e=2132524800&v=beta&t=5LDWqb7a5opzE7CS7tLiUFE8A4tCM3svBPrsjkAkpKY,http://www.cdcfe.ie,education
Intuition Publishing Ltd.,Privately Held,201-500,1985,E-learning,more than 1000,"knowledge services, lms and portals, online learning library",https://media.licdn.com/dms/image/C4D0BAQFdnEEixyx7Yw/company-logo_200_200/0?e=2132524800&v=beta&t=v1xGVmIRahpSTCHZEeTk8a2_CcAMIgphIef1uSsIfgw,http://www.intuition.com,education
Griffith College Cork,Privately Held,51-200,1884,Education Management,more than 1000,not specified,https://media.licdn.com/dms/image/C4E0BAQFEgTdxbsYzbQ/company-logo_200_200/0?e=2132524800&v=beta&t=djCwzfj8E1sqDfHJ9tuvJhiYG2C6ITQbABKQoicyYmM,http://www.griffith.ie/,education
Independent College Dublin,Educational,51-200,2007,Higher Education,more than 1000,"largest and most successful fe1 prep course in ireland, school of professional accountancy have achieved over 60 placings in ireland, in the last eight exam sittings",https://media.licdn.com/dms/image/C4E0BAQHGxc8S8xXcaw/company-logo_200_200/0?e=2132524800&v=beta&t=gyn_G4b5BuQC5y8uKU9Lg6zDWaaB28xgkNd-nEJzAQA,http://www.independentcolleges.ie/,education
"Pontifical University, St Patrick'S College, Maynooth",Educational,Undisclosed,1795,Higher Education,more than 1000,"theology, canon law, philosophy",https://media.licdn.com/dms/image/C4E0BAQEkS_I2cIYmwg/company-logo_200_200/0?e=2132524800&v=beta&t=3Lo6pPTNvS05zAJ-HQptwIoXRPOoGiZ3umYeQNon0C4,http://www.maynoothcollege.ie/,education
Mkrms Food Safety,Privately Held,1-50,2007,Professional Training,more than 1000,"food safety training, compliance auditing, haccp consultancy",https://media.licdn.com/dms/image/C4D0BAQHPyEZ20tpauw/company-logo_200_200/0?e=2132524800&v=beta&t=E-stm4-FYPJX8Zolsxss2Op8SBjzWAgl1HeTN13oJU4,http://www.mkrms.com,education
The Royal College Of Physicians In Ireland,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,not specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,http://www.rcpi.ie/,education
"English Language Academy (Ela), Dublin, Ireland",Privately Held,11-50,2008,Education Management,more than 1000,"language training, tourism & hospitality courses, business courses",https://media.licdn.com/dms/image/C560BAQFVBuz5EivMHA/company-logo_200_200/0?e=2132524800&v=beta&t=h2imXWcuWv15VGe860Ew3_HV8pkr3_hNO80RtsZfQiU,http://www.elaireland.com,education
Cork English College,Privately Held,11-50,1978,Education Management,more than 1000,"english language teaching, english language testing",https://media.licdn.com/dms/image/C560BAQF2Q4Ww5075Tg/company-logo_200_200/0?e=2132524800&v=beta&t=yKyYdc_IcJpp7Jq1CqlVxd4aEMrscGD9DwT12sYo_1U,http://www.corkenglishcollege.ie,education
Public Affairs Ireland,Privately Held,11-50,2002,Professional Training,more than 1000,"training, education, continuing professional development",https://media.licdn.com/dms/image/C4E0BAQGAq2bbh4_X_w/company-logo_200_200/0?e=2132524800&v=beta&t=2p-zUP3Zmp7iz66I0_1ZayPwyMakvXR4mB6q-5C361Q,http://www.pai.ie,education
The Tefl Academy - Leading Efl Teacher Trainer Provider,Privately Held,11-50,Undisclosed,Education Management,more than 1000,not specified,https://media.licdn.com/dms/image/C4E0BAQHJLxAvRR396A/company-logo_200_200/0?e=2132524800&v=beta&t=q0Gkh-z0M1ZnJsbooK8lWTo4RWeiGRdhUxgAyfGjBd0,http://www.theteflacademy.com/,education
Ucd Students' Union (Ucdsu),Non Profit,51-200,1975,Higher Education,more than 1000,"representation, services",https://media.licdn.com/dms/image/C4E0BAQF-99xebSJxDw/company-logo_200_200/0?e=2132524800&v=beta&t=V-zxi6GOJsRVNdLCUF-1F5OXGKe0ol0M2BTPgAyrVFI,http://www.ucdsu.ie,education
All Hallows College,Public Company,51-200,1842,Education Management,more than 1000,"ethical leadership, human service, social justice",https://media.licdn.com/dms/image/C510BAQEUJqISGS2oHw/company-logo_200_200/0?e=2132524800&v=beta&t=efG-AJ9sn-UbAfldV77WIX64jf6aSXHXe07uCtpjTNU,http://www.allhallows.ie/,education
